name,code,pop
Australia,AUS,15
Austria,AUT,280
Belarus,BLR,15
Belgium,BEL,13
Bulgaria,BUL,6
Canada,CAN,625
China,CHN,82
Croatia,CRO,11
Czech Republic,CZE,75
Czechoslovakia,TCH,158
Denmark,DEN,5
East Germany,GDR,162
Estonia,EST,7
Finland,FIN,434
France,FRA,152
Germany,GER,360
Hungary,HUN,12
Italy,ITA,192
Japan,JPN,63
Kazakhstan,KAZ,7
"Korea, North",PRK,2
"Korea, South",KOR,87
Latvia,LAT,15
Liechtenstein,LIE,9
Luxembourg,LUX,2
Netherlands,NED,122
New Zealand,NZL,1
Norway,NOR,457
Poland,POL,27
Romania,ROU,2
Russia,RUS,263
Slovakia,SVK,5
Slovenia,SLO,18
Soviet Union,URS,440
Spain,ESP,2
Sweden,SWE,433
Switzerland,SUI,285
Ukraine,UKR,11
Unified Team,EUN,60
United Kingdom,GBR,79
United States,USA,653
United Team of Germany,EUA,21
Uzbekistan,UZB,1
West Germany,FRG,94
Yugoslavia,YUG,7
